Date,leveled log 10yr Bond
1990-01-02,-0.11788672474095563
1990-01-03,-0.11140924022181675
1990-01-04,-0.1124615885382827
1990-01-05,-0.1110092402218168
1990-01-08,-0.10706157812157713
1990-01-09,-0.10686157812157715
1990-01-10,-0.10541547204132984
1990-01-11,-0.1039709168091254
1990-01-12,-0.09633593832160692
1990-01-15,-0.08998207274722914
1990-01-16,-0.0836658457297923
1990-01-17,-0.08468610213502181
1990-01-18,-0.06873774516688247
1990-01-19,-0.07577541246711306
1990-01-22,-0.07436549096440004
1990-01-23,-0.0753754124671131
1990-01-24,-0.06075208550600797
1990-01-25,-0.05579017174576473
1990-01-26,-0.047310999676744014
1990-01-29,-0.045933836503729175
1990-01-30,-0.0445580574147173
1990-01-31,-0.053803227986235935
1990-02-01,-0.05479017174576484
1990-02-02,-0.04513383650372926
1990-02-05,-0.04141063849641258
1990-02-06,-0.03653226739031146
1990-02-07,-0.042183659158775644
1990-02-08,-0.04551099967674421
1990-02-09,-0.0667403911326434
1990-02-12,-0.055768294150732256
1990-02-13,-0.0615384611372356
1990-02-14,-0.060141572903389395
1990-02-15,-0.051603227986235733
1990-02-16,-0.052590171745764636
1990-02-20,-0.028914915324398383
1990-02-21,-0.028714915324398405
1990-02-22,-0.03783899219952147
1990-02-23,-0.03881063849641242
1990-02-26,-0.04685082638186788
1990-02-27,-0.052578526015143456
1990-02-28,-0.0405580574147173
1990-03-01,-0.03100126400383596
1990-03-02,-0.0366389921995216
1990-03-05,-0.023640679056212033
1990-03-06,-0.030401264003836026
1990-03-07,-0.031366086500129065
1990-03-08,-0.032332267390311475
1990-03-09,-0.02284067905621212
1990-03-12,-0.02495549490466331
1990-03-13,-0.013234630148489135
1990-03-14,-0.022240679056211743
1990-03-15,-0.020885277425656046
1990-03-16,-0.028801264003835758
1990-03-19,-0.02860126400383578
1990-03-20,-0.03423899219952142
1990-03-21,-0.032868717051330876
1990-03-22,-0.035010638496412394
1990-03-23,-0.03598365915877544
1990-03-26,-0.03695805741471725
1990-03-27,-0.03558365915877548
1990-03-28,-0.03655805741471729
1990-03-29,-0.0258377967405381
1990-03-30,-0.019840679056212007
1990-04-02,-0.01964067905621203
1990-04-03,-0.02175549490466322
1990-04-04,-0.030868717051331096
1990-04-05,-0.028332267390311472
1990-04-06,-0.0292998098463495
1990-04-09,-0.02560126400383611
1990-04-10,-0.024237796740538275
1990-04-11,-0.020555494904662908
1990-04-12,-0.019197417184035448
1990-04-16,-0.01437847132774106
1990-04-17,-0.003863193615908145
1990-04-18,0.006546764616989886
1990-04-19,0.00787479632148802
1990-04-20,0.017053532286764206
1990-04-23,0.020599882314108253
1990-04-24,0.023024577336219654
1990-04-25,0.024335071620246396
1990-04-26,0.031172264127045324
1990-04-27,0.03026912005488791
1990-04-30,0.028259174404085208
1990-05-01,0.0328741926132019
1990-05-02,0.0341749081893874
1990-05-03,0.02885917440408514
1990-05-04,0.0066868766495518095
1990-05-07,0.010274796321487756
1990-05-08,0.0070868766495517654
1990-05-09,0.011801557004078589
1990-05-10,0.005221870018700336
1990-05-11,-0.015197417184035444
1990-05-14,-0.018475681560360613
1990-05-15,-0.013640679056211802
1990-05-16,-0.0099784713277411
1990-05-17,-0.008627060722699031
1990-05-18,-0.0015462996304766996
1990-05-21,-0.0024898103325559084
1990-05-22,-0.012640679056211912
1990-05-23,-0.017075681560360767
1990-05-24,-0.014555494904663124
1990-05-25,-0.007427060722699164
1990-05-29,-0.010685277425656281
1990-05-30,-0.01511491532439857
1990-05-31,-0.017237796740538158
1990-06-01,-0.03581769139213442
1990-06-04,-0.03561769139213444
1990-06-05,-0.031869491336037115
1990-06-06,-0.03285082638186809
1990-06-07,-0.032650826381868114
1990-06-08,-0.03245082638186769
1990-06-11,-0.029889550196187997
1990-06-12,-0.02968955019618802
1990-06-13,-0.038968294150731886
1990-06-14,-0.04115208550600791
1990-06-15,-0.0314508263818678
1990-06-18,-0.02653383650372909
1990-06-19,-0.025158057414717216
1990-06-20,-0.02026871705133093
1990-06-21,-0.023583659158775472
1990-06-22,-0.024558057414717283
1990-06-25,-0.016166086500128962
1990-06-26,-0.01829980984634938
1990-06-27,-0.02278365915877556
1990-06-28,-0.028469491336037045
1990-06-29,-0.033003227986236006
1990-07-02,-0.03280322798623603
1990-07-03,-0.036168294150732194
1990-07-05,-0.03359017174576495
1990-07-06,-0.02275805741471748
1990-07-09,-0.01553226739031155
1990-07-10,-0.015332267390311127
1990-07-11,-0.01513226739031115
1990-07-12,-0.02313383650372902
1990-07-13,-0.028833558630917633
1990-07-16,-0.029817691392134194
1990-07-17,-0.029617691392134216
1990-07-18,-0.02233383650372911
1990-07-19,-0.020958057414717235
1990-07-20,-0.02428955019618817
1990-07-23,-0.024089550196188192
1990-07-24,-0.01801063849641249
1990-07-25,-0.02251099967674408
1990-07-26,-0.022310999676744103
1990-07-27,-0.03039017174576486
1990-07-30,-0.03973678362934452
1990-07-31,-0.03714157290338971
1990-08-01,-0.04535003085279676
1990-08-02,-0.030778526015143637
1990-08-03,-0.02820322798623609
1990-08-06,0.004671790864411385
1990-08-07,0.012876407647025356
1990-08-08,0.011936806384091891
1990-08-09,-0.0004852774256560721
1990-08-10,0.00202152867225891
1990-08-13,0.005671790864411719
1990-08-14,0.0001147225743438618
1990-08-15,-0.001997417184035566
1990-08-16,0.011995904948300051
1990-08-17,0.016751721484161042
1990-08-20,0.018087439948088146
1990-08-21,0.021686876649551934
1990-08-22,0.02977424148271801
1990-08-23,0.04002457733621956
1990-08-24,0.04576475771183475
